Number_Plate,Vehicle_Type,Model,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported,Service_Type,Fuel_Consumed_Litres,Distance_Covered_KM,Insurance_Cost,Cost_of_Ownership
KTCA 963B,Tractor,TT 490,Spark Plug,Ignition,AutoGen_2,13574.59,06-07-24,Overheating,Breakdown,21.14,1377.47,21959.97,40998.61
KTCB 172G,Tractor,TS 6110,Alternator,Electrical,AutoGen_9,4260.83,24-06-24,Overcharging,Emergency,170.29,1405.36,7472.81,17032.48
KTCA 521A,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_6,8211.98,19-06-24,Overheating,Emergency,44.38,1129.19,15627.03,39254.68
KTCA 203E,Tractor,"WINCH (VALTRA, SAME)",Brake Pads,Braking System,AutoGen_2,3031.55,26-06-24,Hydraulic issue,Emergency,102.28,194.55,23231.19,37500
KTCB 219E,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_4,13672.68,13-01-25,Won't start,Breakdown,90.21,1773.25,22977.16,50685.74
KTCC 161E,Tractor,TS 6110,Alternator,Electrical,AutoGen_9,5099.17,12-07-24,Overcharging,Emergency,87.24,1557.99,6029.53,21810.32
KTCA 887B,Tractor,TT 490,Air Filter,Air Intake,AutoGen_4,11999.4,29-10-24,Reduced air intake,Emergency,33.77,149.15,15842.15,42264.16
KTCA 227C,Tractor,TS 6000,Oil Filter,Engine,AutoGen_1,12737.57,06-12-24,Reduced engine performance,Emergency,81.01,1050.48,19895.16,40606.69
KTCA 817C,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_1,2027.5,27-05-25,Engine noise,Breakdown,43.08,1903.34,11438.76,20444.95
KTCC 932G,Tractor,TS 6000,Battery,Electrical,AutoGen_3,7065.28,14-03-25,Low voltage,Corrective,28.18,227.45,5664.19,22704.77
KTCC 372A,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_4,3670.59,26-12-24,Engine noise,Preventive,190.73,1023.61,7479.08,30136.7
KTCB 256H,Tractor,TT 490,Alternator,Electrical,AutoGen_8,6133.18,14-03-25,No power output,Corrective,91.2,485.92,26006.55,38262.5
KTCA 248B,Tractor,TS 6110,Oil Filter,Engine,AutoGen_10,7724.72,01-12-24,Reduced engine performance,Emergency,153.74,268.86,5069.05,22022.93
KTCC 733A,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,12110.62,05-02-25,New tyre,Breakdown,170.96,1787.89,19679.34,50857.42
KTCC 122G,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_8,8337.78,24-11-24,Low power,Preventive,54.08,1794.36,17053.09,38545.35
KTCA 662G,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_5,14320.91,08-10-24,Overheating,Emergency,131.83,227.65,17317.38,39071.98
KTCA 594B,Tractor,TT 490,Battery,Electrical,AutoGen_9,4252.95,12-12-24,Won't start,Preventive,149.77,1751.42,9404.32,23876.31
KTCB 291B,Tractor,TS 6110,Battery,Electrical,AutoGen_2,4317.04,24-09-24,Low voltage,Preventive,163.68,1367.44,19057.07,42299.08
KTCC 265B,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_4,11600.46,29-05-25,Fluid leakage,Emergency,139.26,300.79,25382.28,56894.91
KTCB 669H,Tractor,TT 490,Oil Filter,Engine,AutoGen_8,5800.01,25-04-25,Reduced engine performance,Corrective,59.13,1388.44,13582.7,36494.56
KTCC 181H,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_7,7709.44,16-04-25,Low power,Breakdown,178.98,1407.19,29930.62,49395.81
KTCB 560B,Tractor,TS 6110,Radiator,Cooling System,AutoGen_6,10313.47,26-08-24,Coolant leakage,Emergency,84.63,1006.62,28865.41,55622.44
KTCA 877C,Tractor,TT 490,Alternator,Electrical,AutoGen_3,4020.47,06-03-25,Overcharging,Breakdown,148.89,771.15,10338.09,29811.28
KTCC 884G,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_9,7924.81,18-02-25,Overheating,Breakdown,54.28,1219.24,27376.59,53308.27
KTCB 433E,Tractor,TS 6110,Oil Filter,Engine,AutoGen_2,4127.3,26-06-24,Reduced engine performance,Corrective,187.1,1226.21,23270.87,34177.9
KTCB 478H,Tractor,TS 6000,Tyre,Wheels,JKT,9556.06,07-09-24,Tyre burst,Preventive,60.65,1411.73,21860.78,42006.95
KTCC 634B,Tractor,TS 6000,Tyre,Wheels,JKT,7029.39,10-12-24,Puncture,Breakdown,52.58,1396.05,11972.85,35276.06
KTCB 310B,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_6,4781.65,28-12-24,Hydraulic issue,Breakdown,155.84,1082.01,12507.34,33087.66
KTCB 704D,Tractor,TS 6110,Battery,Electrical,AutoGen_5,12442.1,13-07-24,Battery issue,Preventive,191.86,1955.71,5013.51,26125.85
KTCA 353E,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_4,5150.04,23-05-25,Reduced air intake,Corrective,64.72,1098.32,22894.57,35727.22
KTCA 660H,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_6,13807.75,23-04-25,Low pressure,Corrective,53.75,1465.52,29969.3,55429.08
KTCC 253D,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_1,8658.9,14-03-25,Low power,Corrective,159.32,877.67,28384.43,50955.92
KTCA 862E,Tractor,TS 6110,Radiator,Cooling System,AutoGen_3,7477.04,23-04-25,Coolant leakage,Preventive,71.27,149.24,27521.86,51374.17
KTCC 165B,Tractor,TS 6110,Tyre,Wheels,JKT,12402.59,24-05-25,Tyre burst,Breakdown,144.53,1169.42,20923.83,39710.08
KTCC 698A,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_1,14231.58,05-07-24,Hydraulic issue,Corrective,190.37,1059.54,5704.39,37017.05
KTCA 650G,Tractor,TS 6110,Alternator,Electrical,AutoGen_4,6135.11,30-11-24,Electrical failure,Preventive,159.21,1643.47,9350.47,27383.83
KTCB 512F,Tractor,TS 6110,Battery,Electrical,AutoGen_7,9669.26,25-08-24,Won't start,Breakdown,54.49,1471.32,8935.71,26129.47
KTCC 980C,Tractor,"WINCH (VALTRA, SAME)",Radiator,Cooling System,AutoGen_10,3892.46,10-08-24,Overheating,Corrective,33.24,1550.13,14261.54,35485.42
KTCB 178F,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_10,13337.4,15-01-25,Hydraulic issue,Preventive,118.27,1052.51,5173.81,28318.14
KTCC 567G,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_3,6753.26,29-06-24,Reduced air intake,Emergency,115.4,166.16,26204.79,42166.99
KTCC 525F,Tractor,TS 6110,Alternator,Electrical,AutoGen_1,4950.88,13-11-24,No power output,Corrective,169.29,1419.94,18390.55,34848.12
KTCC 728A,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_2,12813.58,18-02-25,Overheating,Corrective,63.13,1705.83,11225.79,37881.44
KTCC 986H,Tractor,TS 6110,Alternator,Electrical,AutoGen_6,4948.36,04-05-25,Electrical failure,Emergency,32.13,836.9,27771.12,43795.05
KTCC 927F,Tractor,TS 6000,Spark Plug,Ignition,JKT,14074.44,29-09-24,Overheating,Corrective,65.52,651.79,12468.31,33463.23
KTCA 578D,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_2,10133.59,09-01-25,Oil leakage,Corrective,87.77,1074.23,7331.93,27585.41
KTCC 470F,Tractor,TS 6000,Radiator,Cooling System,AutoGen_9,7904.71,03-06-25,Coolant leakage,Preventive,175.38,155.65,11249.1,32904.7
KTCA 492C,Tractor,TS 6110,Tyre,Wheels,JKT,1547.57,22-06-24,New tyre,Preventive,86.69,265.39,19583.92,26175.99
KTCA 590D,Tractor,TT 490,Brake Pads,Braking System,JKT,5617.48,28-09-24,Engine noise,Corrective,143.26,1246.47,24032.94,45875.48
KTCB 918E,Tractor,TT 490,Spark Plug,Ignition,AutoGen_4,12234.06,02-09-24,Engine noise,Breakdown,97.82,512.94,6337.12,32312.96
KTCC 141C,Tractor,TT 490,Alternator,Electrical,JKT,2751.44,23-05-25,Overcharging,Emergency,67.39,1536.32,20300.9,36254.48
KTCA 890F,Tractor,TS 6000,Battery,Electrical,AutoGen_4,3768.25,18-10-24,Battery issue,Corrective,20.26,1371.9,5134.88,18789.91
KTCC 216G,Tractor,TS 6110,Oil Filter,Engine,AutoGen_6,2575.86,25-09-24,Reduced engine performance,Preventive,159.23,294.87,16521.82,31609.84
KTCA 677C,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_10,13150.33,29-07-24,Reduced air intake,Emergency,44.93,662.66,5566.14,30502.57
KTCA 681E,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_2,5130.7,10-12-24,Overheating,Corrective,17.14,280.58,16329.81,34958.37
KTCC 270B,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_5,2241.52,05-03-25,Low power,Preventive,66.21,1187.59,22666.74,39865.18
KTCC 214D,Tractor,TT 490,Brake Pads,Braking System,AutoGen_9,6194.25,21-08-24,Engine noise,Corrective,50.89,1513.97,5110.35,31302.86
KTCC 625A,Tractor,TS 6110,Alternator,Electrical,AutoGen_2,2395.67,27-05-25,Overcharging,Preventive,121.06,858.9,22227.57,42610.11
KTCC 301E,Tractor,TT 490,Tyre,Wheels,JKT,8093.49,01-09-24,Puncture,Preventive,196.43,1719.56,12120.07,34792.44
KTCA 340G,Tractor,TS 6000,Oil Filter,Engine,AutoGen_8,13288.26,08-05-25,Oil leakage,Breakdown,53.23,1836.9,7867.48,31307.61
KTCB 173E,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_5,8125.92,22-10-24,Fluid leakage,Breakdown,16.52,389.85,11205.48,31677.97
KTCA 502D,Tractor,TT 490,Radiator,Cooling System,AutoGen_8,12911.86,01-12-24,Overheating,Breakdown,51.13,103.82,5531.41,35321.09
KTCC 999H,Tractor,TT 490,Radiator,Cooling System,AutoGen_10,12441.77,10-02-25,Overheating,Emergency,176.19,900.73,19208.66,46514.05
KTCC 819H,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_10,13639.83,07-06-25,Low pressure,Preventive,118.3,927.77,23281.42,45424.5
KTCB 316B,Tractor,TT 490,Battery,Electrical,AutoGen_10,6057.62,20-09-24,Won't start,Breakdown,50.7,718.97,25706.05,38805.45
KTCB 231B,Tractor,TS 6110,Radiator,Cooling System,AutoGen_3,8347.21,29-11-24,Overheating,Emergency,104.15,475.34,12424.57,34837.54
KTCA 498H,Tractor,TS 6110,Radiator,Cooling System,AutoGen_3,1759.9,13-08-24,Coolant leakage,Corrective,132.23,1132.97,21290.07,33506.84
KTCA 298D,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_6,12486.67,13-05-25,Hydraulic issue,Corrective,166.69,1126.87,28665.63,50560.28
KTCA 757A,Tractor,TS 6000,Alternator,Electrical,AutoGen_6,7606.82,09-05-25,Electrical failure,Corrective,90.61,1110.78,18064.35,44671.7
KTCC 947E,Tractor,TS 6000,Alternator,Electrical,AutoGen_7,5393.47,06-02-25,Overcharging,Emergency,154.91,1937.01,28985.91,51725.79
KTCB 153F,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_4,10349.03,22-08-24,Low power,Corrective,124.26,1244.64,11207.52,29276.05
KTCC 381E,Tractor,TS 6110,Tyre,Wheels,JKT,11094.53,23-07-24,Puncture,Preventive,75.07,1245.21,14636.25,36240.59
KTCC 304G,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_9,13114.54,19-11-24,Engine noise,Preventive,49.31,1664.76,5989.62,32391.34
KTCA 869B,Tractor,TS 6000,Battery,Electrical,AutoGen_5,4051.54,17-07-24,Low voltage,Preventive,84.16,421.22,19263.12,38098.81
KTCA 191C,Tractor,TT 490,Alternator,Electrical,AutoGen_8,8401.72,05-11-24,No power output,Preventive,119.73,1277.9,9455.03,34202.41
KTCA 984F,Tractor,TT 490,Hydraulic Pump,Hydraulics,JKT,12048.19,23-11-24,Fluid leakage,Corrective,13.93,554.87,22299.89,44667.44
KTCA 501G,Tractor,TT 490,Spark Plug,Ignition,AutoGen_10,4017.34,27-04-25,Hydraulic issue,Corrective,52.59,1187.22,6546.45,18491.72
KTCC 821G,Tractor,TS 6000,Tyre,Wheels,JKT,12452.54,03-11-24,New tyre,Breakdown,48.54,959.79,18344.6,42907.04
KTCC 944E,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_8,10787.74,13-03-25,Engine noise,Breakdown,196.54,1948.58,28719.9,45996.86
KTCC 717D,Tractor,TS 6000,Tyre,Wheels,JKT,6952.28,10-02-25,Puncture,Breakdown,53.04,1406.03,10995.27,34198.24
KTCA 302F,Tractor,TS 6110,Tyre,Wheels,JKT,14587.8,30-06-24,New tyre,Corrective,99.59,1882.24,22455.39,46957.27
KTCC 432C,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,4224.14,30-06-24,New tyre,Emergency,76.84,1442.06,27944.92,39835.5
KTCB 352B,Tractor,"WINCH (VALTRA, SAME)",Brake Pads,Braking System,AutoGen_4,9726.65,04-01-25,Low power,Corrective,61.21,750.68,27029.4,44472.48
KTCB 767A,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_7,5751.18,02-06-25,Low power,Breakdown,135.55,1282.03,11750.69,29889.41
KTCA 481A,Tractor,TS 6110,Tyre,Wheels,JKT,8115.94,04-03-25,Tyre burst,Preventive,159.45,501.32,20735.36,36896.63
KTCA 681G,Tractor,"WINCH (VALTRA, SAME)",Radiator,Cooling System,AutoGen_7,11934.18,13-09-24,Coolant leakage,Emergency,99.4,464.55,11722.48,31285.32
KTCA 210G,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_2,8013.06,04-05-25,Fluid leakage,Corrective,62.6,712.66,12087.89,29750.83
KTCC 329D,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_8,8868.87,04-12-24,Low power,Emergency,192.56,890.39,25665.02,50034.43
KTCC 885B,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_5,8375.85,06-07-24,Overheating,Corrective,171.98,852.77,6272.05,31184.11
KTCC 744E,Tractor,TS 6110,Radiator,Cooling System,JKT,14762.42,21-07-24,Overheating,Emergency,53.82,296.65,13237.48,46770.02
KTCC 899A,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_2,7421.45,21-10-24,Reduced engine performance,Preventive,36.82,981.69,27398.08,49613.35
KTCA 157B,Tractor,TT 490,Spark Plug,Ignition,AutoGen_6,7240.83,29-11-24,Overheating,Emergency,134.14,1788.18,21932.87,47677.61
KTCB 513A,Tractor,TS 6110,Radiator,Cooling System,JKT,9035.25,14-10-24,Overheating,Breakdown,160.59,997.02,24852.69,49766.97
KTCA 767F,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_1,12265.84,10-12-24,Overheating,Breakdown,75.97,1913.27,26883.05,52529.11
KTCB 636B,Tractor,TS 6000,Radiator,Cooling System,AutoGen_8,7559.04,24-11-24,Overheating,Emergency,47.14,711.89,18581.96,45042.79
KTCB 744H,Tractor,TS 6000,Tyre,Wheels,JKT,1665.13,18-12-24,New tyre,Corrective,46.35,1062.05,17613.26,28350.47
KTCA 820C,Tractor,TS 6000,Tyre,Wheels,JKT,2229.45,26-03-25,Tyre burst,Emergency,171.96,218.4,15810.57,29091.82
KTCC 416C,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_9,10498.46,01-12-24,Engine noise,Corrective,137.76,604.97,18592.54,47691.06
KTCC 448H,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_7,11681.14,09-04-25,Reduced engine performance,Breakdown,197.52,1061.75,21689.37,45504.96
KTCA 952A,Tractor,TS 6000,Alternator,Electrical,AutoGen_6,7487.16,04-09-24,Overcharging,Preventive,199.12,165.87,29018.93,55055.57
KTCA 314B,Tractor,"WINCH (VALTRA, SAME)",Radiator,Cooling System,AutoGen_8,9811.45,12-10-24,Overheating,Preventive,158.86,1198.22,29991.61,57214.71
KTCA 425C,Tractor,TT 490,Spark Plug,Ignition,AutoGen_2,11169.15,05-11-24,Overheating,Corrective,150.99,857.25,21833.1,45320.68
KTCA 699H,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_2,12294.84,05-01-25,Hydraulic issue,Emergency,150.71,143.3,20914.21,48048.46
KTCC 809E,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_4,6585.45,18-04-25,Overheating,Corrective,66.28,1546.28,22401.74,36284.97
KTCA 348C,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_7,12503.05,23-09-24,No power output,Breakdown,152.35,720.51,15730.68,42757.7
KTCB 641D,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_4,3322.57,22-09-24,Low power,Preventive,170.46,1373.57,17960,29177.89
KTCA 632F,Tractor,TS 6000,Radiator,Cooling System,AutoGen_6,4080.98,04-05-25,Overheating,Corrective,130.17,1509.72,25092.48,48393.06
KTCC 206C,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_4,2761.6,28-06-24,Engine noise,Breakdown,84.85,1102.68,17240.59,35060.2
KTCA 103E,Tractor,TT 490,Tyre,Wheels,JKT,9159.89,28-06-24,Tyre burst,Preventive,118.43,180.39,19936.11,45494.44
KTCB 866E,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_5,8564.2,12-11-24,Reduced air intake,Breakdown,120.56,1306.82,26985.78,51251
KTCC 935B,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_8,6476.29,14-09-24,Reduced air intake,Breakdown,115.37,889.84,29809.55,51363.65
KTCC 687E,Tractor,TT 490,Alternator,Electrical,AutoGen_2,9866.09,29-09-24,Overcharging,Breakdown,29.06,1531.04,8599.09,36910.06
KTCA 948F,Tractor,"WINCH (VALTRA, SAME)",Fuel Pump,Fuel System,AutoGen_7,2130.03,01-07-24,Hydraulic issue,Emergency,145.8,1167.51,10691.41,24957.85
KTCA 218D,Tractor,TS 6110,Radiator,Cooling System,JKT,8297.75,01-05-25,Overheating,Preventive,197.44,1582.92,27505.41,53889.54
KTCA 844B,Tractor,"WINCH (VALTRA, SAME)",Fuel Pump,Fuel System,AutoGen_2,11531.89,16-11-24,Overheating,Breakdown,122.74,115.63,7155.77,34923.19
KTCC 152A,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_3,3695.56,15-05-25,Electrical failure,Preventive,76.01,1023.76,13692.46,22980.35
KTCB 256C,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_2,1788.62,30-08-24,Low pressure,Corrective,141.89,1613.58,14432.51,33871.13
KTCB 411G,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_2,6217.22,24-11-24,Electrical failure,Preventive,52.61,1616.25,13772.55,34204.72
KTCC 490C,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_4,7655.77,30-09-24,Hydraulic issue,Corrective,18.76,912.03,20163.87,34851.65
KTCA 559G,Tractor,TS 6000,Oil Filter,Engine,AutoGen_2,11515.75,31-08-24,Reduced engine performance,Corrective,165.97,845.01,8326.79,34128.29
KTCC 510F,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_9,10619.53,12-06-25,Hydraulic issue,Preventive,182.25,774.17,7256.74,29582.9
KTCA 161G,Tractor,TT 490,Air Filter,Air Intake,JKT,3346.73,05-01-25,Clogged filter,Preventive,124.08,1395.5,14313.34,32335.81
KTCA 889H,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_10,3972.22,03-05-25,Fluid leakage,Preventive,113.94,505.72,6705.78,20841.89
KTCC 214C,Tractor,TS 6110,Alternator,Electrical,AutoGen_1,11746.81,25-02-25,Electrical failure,Breakdown,22.14,284.37,19666.85,36687.24
KTCC 949G,Tractor,TT 490,Alternator,Electrical,AutoGen_9,9377.79,28-01-25,No power output,Emergency,169.96,439.83,28400.71,44633.74
KTCB 209F,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_6,6434.81,16-06-25,Low power,Emergency,125.23,440.29,27390.2,50314.68
KTCA 940D,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_10,13089.46,24-01-25,Reduced air intake,Preventive,105.28,188.53,18180.75,43966.86
KTCB 500E,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,9869.91,25-11-24,Tyre burst,Emergency,172.77,1756.8,16355.97,34483.99
KTCC 327E,Tractor,TS 6000,Battery,Electrical,JKT,13815.96,11-09-24,Low voltage,Breakdown,167.72,1148.47,10112.16,38994.5
KTCB 160G,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_7,6972.24,11-08-24,Hydraulic issue,Emergency,125.77,281.64,28613.97,54891.49
KTCC 431F,Tractor,"WINCH (VALTRA, SAME)",Brake Pads,Braking System,AutoGen_7,7312.56,22-04-25,Engine noise,Emergency,114.17,1203.33,13971,34739.82
KTCA 145E,Tractor,TS 6000,Tyre,Wheels,JKT,4319.93,24-11-24,Puncture,Emergency,164.91,910.03,15324.78,28566.92
KTCC 575E,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_8,1756.78,26-06-24,Hydraulic issue,Corrective,76.41,603.7,24071.79,33525.78
KTCC 868E,Tractor,TS 6000,Oil Filter,Engine,JKT,7170.12,03-09-24,Oil leakage,Preventive,52.47,1475.54,10997.37,34075.16
KTCB 336C,Tractor,TS 6000,Battery,Electrical,AutoGen_5,3489.62,01-07-24,Low voltage,Preventive,42.56,1219.94,11450.73,27206.4
KTCC 484D,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_5,11375.03,20-06-24,Hydraulic issue,Emergency,117.89,1600.43,26403.28,44290.52
KTCC 290D,Tractor,TS 6110,Oil Filter,Engine,AutoGen_6,10453.16,02-02-25,Oil leakage,Breakdown,70.94,750.48,9151.45,32239.12
KTCC 411A,Tractor,TS 6000,Alternator,Electrical,AutoGen_5,2099.54,24-11-24,No power output,Preventive,36.61,1359.22,19296.09,27028.26
KTCB 539A,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_6,14995.12,16-10-24,Low power,Breakdown,121.11,861.67,24629.02,44803.32
KTCC 264F,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_6,10248.92,17-05-25,Fluid leakage,Corrective,68.05,616.12,23924.08,44291.98
KTCB 731F,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_3,5062.37,31-03-25,No power output,Emergency,105,1487.1,10998.76,27983.49
KTCB 694A,Tractor,TS 6110,Battery,Electrical,JKT,5230.72,23-07-24,Low voltage,Corrective,38.37,221.8,6247.16,21296.36
KTCB 175D,Tractor,TT 490,Tyre,Wheels,JKT,14590.52,19-10-24,Tyre burst,Breakdown,108.58,879.59,22188.85,52938.54
KTCC 205H,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_1,3726.56,18-06-24,Low power,Breakdown,68.09,330.55,21104.59,37772.4
KTCB 818E,Tractor,TT 490,Alternator,Electrical,AutoGen_1,2884.77,21-08-24,Electrical failure,Corrective,115.67,263.48,23825.66,42192.21
KTCC 829D,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_3,9337.62,19-10-24,Low power,Emergency,53.26,965.19,21890.35,42991.89
KTCC 285E,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_9,3523.62,08-05-25,Reduced air intake,Breakdown,191.3,1522.78,27274.29,47207.47
KTCC 162H,Tractor,TS 6000,Battery,Electrical,JKT,8359.32,04-01-25,Battery issue,Emergency,75,1435.04,16962.32,34872.18
KTCB 597H,Tractor,TT 490,Battery,Electrical,AutoGen_8,1982.17,02-09-24,Won't start,Emergency,23.91,1220.29,12414.12,20033.87
KTCB 242E,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_1,7916.12,18-03-25,Low power,Corrective,99.44,719.29,26837.34,54316.12
KTCB 665F,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_1,3359.01,30-09-24,No power output,Preventive,120.24,337.57,5309.96,24826.68
KTCB 433G,Tractor,TT 490,Alternator,Electrical,AutoGen_5,7908.67,24-10-24,Electrical failure,Emergency,143.88,676.78,13150.78,40635.42
KTCB 518B,Tractor,TS 6110,Tyre,Wheels,JKT,12675.37,09-10-24,Puncture,Breakdown,24.29,993.29,10408.27,41312.34
KTCA 665E,Tractor,"WINCH (VALTRA, SAME)",Radiator,Cooling System,AutoGen_7,14120.74,23-12-24,Coolant leakage,Breakdown,91.53,142.07,20041.43,40614.57
KTCA 743C,Tractor,TT 490,Spark Plug,Ignition,AutoGen_5,12301.94,21-07-24,Overheating,Emergency,161.15,1980.35,29722.66,60031.81
KTCA 493G,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_3,6585.43,16-08-24,Overheating,Corrective,74.68,1801.48,10323.77,29602.76
KTCA 999B,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,2283.16,26-01-25,Puncture,Breakdown,179.11,1720.9,12503.99,26888.36
KTCB 153H,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_4,9967,19-02-25,Reduced air intake,Preventive,119.85,1275.41,16488.01,41113.58
KTCC 945B,Tractor,TT 490,Spark Plug,Ignition,AutoGen_9,4039.84,11-10-24,Hydraulic issue,Corrective,172.86,1479.66,10307.7,26252.79
KTCA 691C,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_6,3480.2,26-01-25,Low power,Corrective,97.53,1519.43,15095.93,34912.53
KTCA 193D,Tractor,TT 490,Alternator,Electrical,AutoGen_2,10713.76,29-11-24,No power output,Preventive,79.95,994.59,21580.62,51159.25
KTCA 666G,Tractor,TT 490,Radiator,Cooling System,JKT,11287.22,27-12-24,Coolant leakage,Corrective,101.58,1751.1,27729.77,53066.34
KTCB 823F,Tractor,TT 490,Oil Filter,Engine,AutoGen_3,9960.14,14-08-24,Reduced engine performance,Preventive,45.6,416.62,22800.94,42261.12
KTCB 759H,Tractor,TS 6110,Radiator,Cooling System,AutoGen_10,2082.99,24-01-25,Overheating,Corrective,11.02,1585.92,7932.04,16687.79
KTCC 527F,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_2,9287.07,10-09-24,Low power,Preventive,144.94,728.02,16877.56,34425.16
KTCC 994G,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_3,11736.54,22-02-25,Engine noise,Breakdown,68.23,373.9,23875.87,48061.33
KTCB 823D,Tractor,TT 490,Radiator,Cooling System,AutoGen_2,2284.87,23-02-25,Coolant leakage,Corrective,85.18,998.76,10764.3,20688.15
KTCA 317E,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_6,1573.63,11-08-24,Clogged filter,Breakdown,13.92,1598.41,21814.26,28695.31
KTCA 260A,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_5,12276.47,06-03-25,Hydraulic issue,Emergency,17.58,1430.26,27069.93,45478.53
KTCB 366G,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_7,6959.28,02-11-24,Low pressure,Corrective,70.42,318.05,29778.89,56374.64
KTCC 403A,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_4,7486.51,29-12-24,Low power,Corrective,75.16,1789.37,22566.68,45066.71
KTCB 363C,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_8,5952.45,15-04-25,Low pressure,Breakdown,162.6,1773.08,16646.94,29336.97
KTCA 243D,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_3,9948.02,21-04-25,Overcharging,Preventive,141.81,1909.84,23128.27,42010.14
